Indicator,Value,Data,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Junior secondary completion rate,73.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,,4,,,,,,,,,,,,
Junior secondary completion rate,71.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,,4,,,,,,,,,,,,
Junior secondary completion rate,89.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,,4,,,,,,,,,,,,
Junior secondary completion rate,77.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,,4,,,,,,,,,,,,
Junior secondary completion rate,77.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Banten,,,4,,,,,,,,,,,,
Junior secondary completion rate,85.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bali,,,4,,,,,,,,,,,,
Junior secondary completion rate,76.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,,4,,,,,,,,,,,,
Junior secondary completion rate,64.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,,4,,,,,,,,,,,,
Junior secondary completion rate,60.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,,4,,,,,,,,,,,,
Junior secondary completion rate,65.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,,4,,,,,,,,,,,,
Junior secondary completion rate,68.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,,4,,,,,,,,,,,,
Junior secondary completion rate,84.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,,4,,,,,,,,,,,,
Junior secondary completion rate,77.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,,4,,,,,,,,,,,,
Junior secondary completion rate,80,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,,4,,,,,,,,,,,,
Junior secondary completion rate,70,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,,4,,,,,,,,,,,,
Junior secondary completion rate,71.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,,4,,,,,,,,,,,,
Junior secondary completion rate,81.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,,4,,,,,,,,,,,,
Junior secondary completion rate,64.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,,4,,,,,,,,,,,,
Junior secondary completion rate,60.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,,4,,,,,,,,,,,,
Junior secondary completion rate,87.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku,,,4,,,,,,,,,,,,
Junior secondary completion rate,78.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,,4,,,,,,,,,,,,
Junior secondary completion rate,72.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,,4,,,,,,,,,,,,
Junior secondary completion rate,51.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua,,,4,,,,,,,,,,,,
Junior secondary completion rate,77.7,Percent ,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Junior secondary completion rate,73.5,Percent ,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,1808072,Number ,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,604098,Number ,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,1203974,Number ,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,684159,Number ,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,457720,Number ,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,334580,Number ,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,220663,Number ,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,110950,Number ,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,242595,Number ,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,512837,Number ,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,692449,Number ,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,182957,Number ,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,144829,Number ,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,32406,Number ,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,16470,Number ,2015,,SUSENAS,,All,All,All,All,All,Aceh,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,85783,Number ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,44317,Number ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,45969,Number ,2015,,SUSENAS,,All,All,All,All,All,Riau,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,21058,Number ,2015,,SUSENAS,,All,All,All,All,All,Jambi,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,59465,Number ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,11249,Number ,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,52365,Number ,2015,,SUSENAS,,All,All,All,All,All,Lampung,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,11238,Number ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,3636,Number ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,32978,Number ,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,372201,Number ,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,204045,Number ,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,8917,Number ,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,237423,Number ,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,86474,Number ,2015,,SUSENAS,,All,All,All,All,All,Banten,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,12502,Number ,2015,,SUSENAS,,All,All,All,All,All,Bali,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,24325,Number ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,83490,Number ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,58732,Number ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,18872,Number ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,35530,Number ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,12572,Number ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,4684,Number ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,10300,Number ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,29669,Number ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,71341,Number ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,20385,Number ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,10946,Number ,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,14049,Number ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,12812,Number ,2015,,SUSENAS,,All,All,All,All,All,Maluku,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,6695,Number ,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,9884,Number ,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,77696,Number ,2015,,SUSENAS,,All,All,All,All,All,Papua,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,740091,Number ,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,1067981,Number ,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,183319,Number,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,34449,Number,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,148870,Number,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,89186,Number,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,43100,Number,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,21116,Number,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,18254,Number,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,11663,Number,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,62983,Number,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,37147,Number,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,38013,Number,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,18608,Number,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,21814,Number,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,4754,Number,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,256,Number,2015,,SUSENAS,,All,All,All,All,All,Aceh,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,2337,Number,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,624,Number,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,6390,Number,2015,,SUSENAS,,All,All,All,All,All,Riau,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,933,Number,2015,,SUSENAS,,All,All,All,All,All,Jambi,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,3110,Number,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,210,Number,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1339,Number,2015,,SUSENAS,,All,All,All,All,All,Lampung,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1056,Number,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,145,Number,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,555,Number,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,24739,Number,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,12945,Number,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,269,Number,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,5911,Number,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1500,Number,2015,,SUSENAS,,All,All,All,All,All,Banten,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,743,Number,2015,,SUSENAS,,All,All,All,All,All,Bali,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,2960,Number,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,9733,Number,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,7209,Number,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1335,Number,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1188,Number,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1045,Number,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1172,Number,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,2311,Number,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,5995,Number,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,5488,Number,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1146,Number,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1651,Number,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,3158,Number,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,321,Number,2015,,SUSENAS,,All,All,All,All,All,Maluku,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,787,Number,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1932,Number,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,72826,Number,2015,,SUSENAS,,All,All,All,All,All,Papua,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,88212,Number,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,95106,Number,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,4997048,Number ,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,2158892,Number ,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,2838156,Number ,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1302969,Number ,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1153816,Number ,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1056385,Number ,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,894212,Number ,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,589666,Number ,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,438502,Number ,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1143154,Number ,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1857954,Number ,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,710509,Number ,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,699075,Number ,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,147854,Number ,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,86096,Number ,2015,,SUSENAS,,All,All,All,All,All,Aceh,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,287318,Number ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,84568,Number ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,131675,Number ,2015,,SUSENAS,,All,All,All,All,All,Riau,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,73884,Number ,2015,,SUSENAS,,All,All,All,All,All,Jambi,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,183891,Number ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,36349,Number ,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,190816,Number ,2015,,SUSENAS,,All,All,All,All,All,Lampung,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,32156,Number ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,28703,Number ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,174634,Number ,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,,4,,,,,,,,,,,,
Out-of-school children of senior secondary age,1028814,Number ,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,,4,,,,,,,,,,,,
